suite,test,totalCov,core,search,shuffle,sort,time,status
com.sl.algorithms.search.binarysearch.BinarySearchTest,testBinarySearchGeneric,240,3,79,79,79,19,passed
com.sl.algorithms.sort.generalpurpose.SortingTest,testBottomUpMergeSort,196,75,0,0,121,5,error
com.sl.algorithms.sort.generalpurpose.SortingTest,testTopDownMergeSort,184,76,0,0,108,2,error
com.sl.algorithms.sort.finitegroups.integersorting.IntegerSortingTest,testRadixSort,162,57,1,0,104,0,ignored
com.sl.algorithms.sort.generalpurpose.SortingTest,testInsertionSort,158,54,0,0,104,0,error
com.sl.algorithms.search.median.MedianFinderTest,testQuickSelectApproach,149,63,76,10,0,5,error
com.sl.algorithms.sort.finitegroups.integersorting.IntegerSortingTest,testCountingSort,138,57,1,0,80,2,passed
com.sl.algorithms.core.list.merge.LinkedListMergeTest,testIterative,133,133,0,0,0,2,error
com.sl.algorithms.core.list.merge.LinkedListMergeTest,testDnQ,127,127,0,0,0,3,error
com.sl.algorithms.core.list.merge.LinkedListMergeTest,testPQ,124,124,0,0,0,3,error
com.sl.algorithms.search.linearsearch.LinearSearchTest,testRotatedSparsedArray,121,1,40,40,40,1,passed
com.sl.algorithms.search.median.MedianFinderTest,testPQApproach,121,24,87,10,0,4,error
com.sl.algorithms.search.median.MedianFinderTest,testBruteForceMethod,117,24,83,10,0,4,error
com.sl.algorithms.search.binarysearch.BinarySearchTest,testFindStartOfRotation,105,3,34,34,34,2,passed
com.sl.algorithms.core.array.rotation.ArrayRotationTest,assertDougMcIlroyAlgorithm,103,103,0,0,0,4,passed
com.sl.algorithms.core.array.rotation.ArrayRotationTest,assertBruteForceRotation,103,103,0,0,0,5,passed
com.sl.algorithms.sort.advanced.wave.WiggleSortIITest,assertWaveForSortedList,103,57,0,0,46,4,passed
com.sl.algorithms.core.array.rotation.ArrayRotationTest,assertBentleyShufflingAlgorithm,102,102,0,0,0,3,passed
com.sl.algorithms.core.array.rotation.ArrayRotationTest,assertGriesMillsAlgorithm,97,97,0,0,0,14,failed
com.sl.algorithms.search.majorityelement.BoyerMooreVotingTest,testBoyerMooreVoting,97,1,32,32,32,1,failed
com.sl.algorithms.sort.generalpurpose.SortingTest,testQuickSort,95,38,0,0,57,3,failed
com.sl.algorithms.sort.generalpurpose.SortingTest,testMaxHeapSort,90,16,0,0,74,1,passed
com.sl.algorithms.core.array.rotation.ArrayRotationTest,assertBruteForceRotationWithSpace,88,88,0,0,0,2,passed
com.sl.algorithms.search.majorityelement.BoyerMooreVotingTest,testBoyerMooreVotingOutliers,85,1,28,28,28,0,passed
com.sl.algorithms.shuffle.ShufflingTest,assertFisherYatesKnuthShuffling,85,54,0,31,0,0,passed
com.sl.algorithms.shuffle.ShufflingTest,assertSattoloShuffling,85,54,0,31,0,2,passed
com.sl.algorithms.shuffle.ShufflingTest,assertNaiveShuffling,85,54,0,31,0,0,error
com.sl.algorithms.core.list.ListNodeTest,testIsCyclic,83,83,0,0,0,1,passed
com.sl.algorithms.core.list.ListNodeTest,testIsCircular,83,83,0,0,0,2,error
com.sl.algorithms.sort.advanced.wave.WiggleSortIITest,assertWaveForUnsortedList,83,58,0,0,25,0,passed
com.sl.algorithms.core.utils.LinkedListOpsTest,testReorderList,82,82,0,0,0,0,error
com.sl.algorithms.core.tree.lca.LCAFinderTest,assertLCAIterative,81,81,0,0,0,3,passed
com.sl.algorithms.sort.advanced.wave.WiggleSortIITest,assertWaveForListWithDupes,79,58,1,0,20,2,passed
com.sl.algorithms.sort.advanced.wave.WiggleSortIITest,assertSmallSets,78,56,0,0,22,0,passed
com.sl.algorithms.sort.generalpurpose.SortingTest,testSelectionSort,77,16,0,0,61,2,passed
com.sl.algorithms.core.utils.LinkedListOpsTest,testRemoveDataByPosition,76,76,0,0,0,1,error
com.sl.algorithms.core.list.rotation.LinkedListRotationTest,testRotateLeft,74,74,0,0,0,1,error
com.sl.algorithms.core.list.rotation.LinkedListRotationTest,testRotateRight,74,74,0,0,0,1,error
com.sl.algorithms.sort.generalpurpose.SortingTest,testBubbleSort,74,16,0,0,58,3,passed
com.sl.algorithms.core.list.reversal.IncrementByOneTest,testIncrementByOne,72,72,0,0,0,2,error
com.sl.algorithms.core.list.rotation.LinkedListRotationTest,assertIsRotation,72,72,0,0,0,1,error
com.sl.algorithms.core.list.reversal.LinkedListReversalTest,testReverseInGroups,71,71,0,0,0,1,error
com.sl.algorithms.core.tree.lca.LCAFinderTest,assertLCARecursive,70,70,0,0,0,7,passed
com.sl.algorithms.search.binarysearch.BinarySearchTest,testBinarySearchIterative,69,3,22,22,22,2,passed
com.sl.algorithms.core.list.LLCycleDetectionTest,testCycleEndPoints,67,67,0,0,0,0,passed
com.sl.algorithms.search.nge.NarayanPanditPermutationAlgorithmTest,testNGNSameDigits,67,26,41,0,0,1,passed
com.sl.algorithms.search.binarysearch.BinarySearchTest,testBinarySearchRecursive,66,3,21,21,21,3,passed
com.sl.algorithms.sort.finitegroups.PolishNationalFlagsSortTest,testPNFSort2c,66,16,0,0,50,4,passed
com.sl.algorithms.core.utils.LinkedListOpsTest,testInsertOp,65,65,0,0,0,1,error
com.sl.algorithms.search.select.QuickSelectTest,testKthLargest,65,48,11,6,0,0,error
com.sl.algorithms.sort.finitegroups.PolishNationalFlagsSortTest,testPNFSort1c,65,16,0,0,49,4,passed
com.sl.algorithms.core.utils.LinkedListOpsTest,testRemoveDuplicates,64,64,0,0,0,1,error
com.sl.algorithms.search.binarysearch.LargeSizeBinarySearchTest,largeSizeTest,63,3,20,20,20,4478,passed
com.sl.algorithms.search.select.QuickSelectTest,testKthSmallest,63,46,11,6,0,1,error
com.sl.algorithms.sort.finitegroups.bucketsort.BucketSortTest,testFPBucketSort,63,12,0,0,51,1,passed
com.sl.algorithms.sort.finitegroups.ElementMoverTest,testMoveZeroesRight,63,16,0,0,47,1,passed
com.sl.algorithms.sort.finitegroups.DutchNationalFlagSortTest,testDNFSortIntegers,58,16,0,0,42,0,passed
com.sl.algorithms.sort.advanced.wave.WiggleSortTest,testWiggleSort,57,16,0,0,41,2,passed
com.sl.algorithms.core.utils.FormulasTest,testPrintArmstrongNumbers,56,56,0,0,0,13,passed
com.sl.algorithms.search.pigeonhole.MNFinderTest,testFindFirstMissingPositive,56,4,52,0,0,0,passed
com.sl.algorithms.core.utils.LinkedListOpsTest,testIsPalindrome,55,55,0,0,0,0,error
com.sl.algorithms.core.utils.LinkedListOpsTest,testRemoveData,54,54,0,0,0,1,error
com.sl.algorithms.core.list.reversal.LinkedListReversalTest,testReverse,52,52,0,0,0,1,error
com.sl.algorithms.core.list.ListNodeTest,testCloneList,51,51,0,0,0,1,error
com.sl.algorithms.core.utils.StringOpsTest,assertAtoi,48,48,0,0,0,1,passed
com.sl.algorithms.core.list.intersection.LinkedListIntersectionTest,testGetIntersectionNode,47,47,0,0,0,2,error
com.sl.algorithms.core.list.ListNodeTest,testEquality,47,47,0,0,0,1,passed
com.sl.algorithms.core.utils.LinkedListOpsTest,testCreateLinkedList,46,46,0,0,0,1,error
com.sl.algorithms.core.utils.StringOpsTest,assertFindPermutations,46,46,0,0,0,1,passed
com.sl.algorithms.sort.generalpurpose.SortingTest,testMinHeapSort,45,12,0,0,33,6,passed
com.sl.algorithms.core.utils.NumberOpsTest,testConvertToDecimal,44,44,0,0,0,0,passed
com.sl.algorithms.core.list.rotation.LinkedListRotationTest,assertArrayRotationUsingLinkedList,43,43,0,0,0,1,error
com.sl.algorithms.core.strings.checks.parenthesis.ParenthesisValidatorTest,assertIsValidParenthesisWildChar,42,42,0,0,0,4,passed
com.sl.algorithms.core.strings.codec.CodecTest,assertDecode,42,42,0,0,0,2,passed
com.sl.algorithms.core.list.intersection.LinkedListIntersectionTest,testGetIntersectionNodeNothingCommon,40,40,0,0,0,1,error
com.sl.algorithms.search.linearsearch.LinearSearchTest,testLinearSearch,40,1,13,13,13,4,passed
com.sl.algorithms.core.list.rotation.LinkedListRotationTest,testStringRotationLeft,39,39,0,0,0,0,error
com.sl.algorithms.core.list.rotation.LinkedListRotationTest,testStringRotationRight,39,39,0,0,0,1,error
com.sl.algorithms.sort.finitegroups.DutchNationalFlagSortTest,testDNFSortStrings3c,38,12,0,0,26,3,passed
com.sl.algorithms.sort.finitegroups.ElementMoverTest,testMoveZeroesLeft,38,12,0,0,26,0,passed
com.sl.algorithms.search.pigeonhole.DuplicateFinderTest,testEfficientDuplicateFinder,37,2,35,0,0,1,passed
com.sl.algorithms.sort.finitegroups.DutchNationalFlagSortTest,testDNFSortStrings2c,37,12,0,0,25,0,passed
com.sl.algorithms.core.array.count.CountElementSortedListTest,testCountInLogTime,36,36,0,0,0,11,error
com.sl.algorithms.core.list.rotation.LinkedListRotationTest,testBaseCases,36,36,0,0,0,1,error
com.sl.algorithms.core.utils.ArrayOpsTest,testHaveSameData,36,36,0,0,0,0,passed
com.sl.algorithms.search.nge.NarayanPanditPermutationAlgorithmTest,testNGNSameDigits10s,36,19,17,0,0,0,passed
com.sl.algorithms.search.peakelement.PeakElementFinderTest,testLogTimePEFinder,36,4,32,0,0,2,passed
com.sl.algorithms.search.pigeonhole.DuplicateFinderTest,testNaiveDuplicateFinder,36,2,34,0,0,1,passed
com.sl.algorithms.core.array.subarray.KadaneAlgorithmTest,testFindMaxSubArrayProduct,34,34,0,0,0,0,passed
com.sl.algorithms.core.strings.checks.parenthesis.ParenthesisValidatorTest,assertIsValidParenthesisString,34,34,0,0,0,2,passed
com.sl.algorithms.core.utils.NumberOpsTest,testConvertToBinary,33,33,0,0,0,1,passed
com.sl.algorithms.core.utils.NumberOpsTest,testPlusOne,32,32,0,0,0,0,passed
com.sl.algorithms.search.peakelement.PeakElementFinderTest,testLinearTimePEFinder,32,2,30,0,0,2,passed
com.sl.algorithms.core.array.subarray.KadaneAlgorithmTest,testFindMaxSubArraySum,31,31,0,0,0,0,passed
com.sl.algorithms.core.array.subarray.MaxNonNeighboursCircularSumTest,testFindMaxSubArraySum,30,30,0,0,0,0,passed
com.sl.algorithms.core.list.reversal.SwapInPairsTest,testSwapInPairsOddCount,30,30,0,0,0,1,error
com.sl.algorithms.core.list.reversal.SwapInPairsTest,testSwapInPairsEvenCount,30,30,0,0,0,1,error
com.sl.algorithms.core.utils.ArrayOpsTest,testIsMountain,30,30,0,0,0,0,passed
com.sl.algorithms.core.list.ListNodeTest,testMidPoint,29,29,0,0,0,1,error
com.sl.algorithms.search.nge.NGECircularArrayTest,testFindNGEInCircularArray,29,8,21,0,0,0,passed
com.sl.algorithms.core.utils.NumberOpsTest,testConvertToArray,28,28,0,0,0,0,passed
com.sl.algorithms.core.utils.NumberOpsTest,testConvertToNumberUsingPower,28,28,0,0,0,1,passed
com.sl.algorithms.core.array.subarray.RunningProductTest,testProductExceptSelf,27,27,0,0,0,1,passed
com.sl.algorithms.core.list.reversal.SwapInPairsTest,testSwapInPairs2Elements,27,27,0,0,0,1,error
com.sl.algorithms.core.strings.checks.parenthesis.ParenthesisValidatorTest,assertIsValidParenthesis,27,27,0,0,0,2,passed
com.sl.algorithms.core.utils.FormulasTest,testPrimality,27,27,0,0,0,0,passed
com.sl.algorithms.core.utils.FormulasTest,testHaveSameDigitsAndLength,26,26,0,0,0,0,passed
com.sl.algorithms.search.nge.NGERegularArrayTest,testFindDaysToWarmth,26,8,18,0,0,7703,passed
com.sl.algorithms.core.array.subarray.MaxNonNeighboursSumTest,testFindMaxSubArraySum,25,25,0,0,0,0,passed
com.sl.algorithms.core.utils.FormulasTest,testRaiseTo,25,25,0,0,0,0,passed
com.sl.algorithms.core.stack.MinStackTest,assertNullMinStackOps,24,24,0,0,0,1,failed
com.sl.algorithms.core.stack.MinStackTest,assertMinStackOps,23,23,0,0,0,5,failed
com.sl.algorithms.core.utils.FormulasTest,testHaveSameDigitsAndLengthPrimes,22,22,0,0,0,1,passed
com.sl.algorithms.core.array.subarray.MaxSubSequenceSumTest,testFindMaxSubSequenceSum,21,21,0,0,0,1,passed
com.sl.algorithms.core.utils.ArrayOpsTest,testHaveSameDataNegative,21,21,0,0,0,0,passed
com.sl.algorithms.core.utils.FormulasTest,hcfTest,21,21,0,0,0,0,passed
com.sl.algorithms.core.list.ListNodeTest,testSize,20,20,0,0,0,1,error
com.sl.algorithms.core.strings.checks.LapindromeTest,assertPositive,20,20,0,0,0,1,failed
com.sl.algorithms.core.utils.ArrayOpsTest,testReverseInRange,20,20,0,0,0,3,passed
com.sl.algorithms.core.utils.NumberOpsTest,testCountPrimes,20,20,0,0,0,4,passed
com.sl.algorithms.core.utils.PairTest,assertBaseMethods,20,20,0,0,0,0,passed
com.sl.algorithms.search.nge.NGERegularArrayTest,testFindDaysToWarmthBruteForce,20,7,13,0,0,0,passed
com.sl.algorithms.core.utils.ArrayOpsTest,testReverseObj,19,19,0,0,0,0,passed
com.sl.algorithms.core.utils.ArrayOpsTest,testReverse,19,19,0,0,0,5,passed
com.sl.algorithms.core.utils.NumberOpsTest,assertReverse,18,18,0,0,0,0,passed
com.sl.algorithms.search.pigeonhole.MNFinderTest,testFindMissingNumber,17,0,17,0,0,1,passed
com.sl.algorithms.core.utils.NumberOpsTest,testCountDigits,15,15,0,0,0,0,passed
com.sl.algorithms.core.array.count.CountElementSortedListTest,testCountInLinearTime,14,14,0,0,0,1,passed
com.sl.algorithms.core.strings.checks.LapindromeTest,assertNegative,14,14,0,0,0,0,passed
com.sl.algorithms.core.utils.NumberOpsTest,testConvertToNumber,14,14,0,0,0,0,passed
com.sl.algorithms.core.list.intersection.ListIntersectionTest,assertSmallData,12,12,0,0,0,0,error
com.sl.algorithms.core.utils.FormulasTest,testIsNeonNumber,12,12,0,0,0,0,passed
com.sl.algorithms.core.utils.FormulasTest,testIsPalindrome,12,12,0,0,0,1,passed
com.sl.algorithms.core.array.count.CountNegativesInMatrixTest,testFindNegativeCountHasZeroes,10,10,0,0,0,0,passed
com.sl.algorithms.core.array.count.CountNegativesInMatrixTest,testFindNegativeCountRectangle,10,10,0,0,0,1,passed
com.sl.algorithms.core.array.count.CountNegativesInMatrixTest,testFindNegativeCountMix,10,10,0,0,0,0,passed
com.sl.algorithms.core.list.reversal.SwapInPairsTest,testSwapInPairsBaseCases,10,10,0,0,0,5,passed
com.sl.algorithms.core.utils.FormulasTest,testOrderOf,10,10,0,0,0,1,passed
com.sl.algorithms.core.array.count.CountNegativesInMatrixTest,testFindNegativeCountAllNegative,9,9,0,0,0,1,passed
com.sl.algorithms.core.array.count.CountNegativesInMatrixTest,testFindNegativeCountAllPositive,8,8,0,0,0,1,passed
com.sl.algorithms.core.list.intersection.ListIntersectionTest,assertBaseCases,8,8,0,0,0,1,error
com.sl.algorithms.core.utils.FormulasTest,testEulerPrimes,8,8,0,0,0,3,passed
com.sl.algorithms.core.utils.FormulasTest,testPrimalityLargeNumber,8,8,0,0,0,1,passed
com.sl.algorithms.core.strings.checks.LapindromeTest,assertSingleCharString,5,5,0,0,0,0,passed
com.sl.algorithms.core.utils.FormulasTest,midPointTest,5,5,0,0,0,0,passed
com.sl.algorithms.core.list.intersection.LinkedListIntersectionTest,testGetIntersectionNodeNull,3,3,0,0,0,1,error
com.sl.algorithms.core.strings.checks.LapindromeTest,assertNull,3,3,0,0,0,0,passed
com.sl.algorithms.core.utils.FormulasTest,midPointTestLargeNumbers,3,3,0,0,0,0,passed
com.sl.algorithms.core.utils.FormulasTest,midPointTestLargeRange,3,3,0,0,0,0,passed
com.sl.algorithms.sort.finitegroups.bucketsort.BucketSortTest,testFPBucketSortNegativeNumbers,0,0,0,0,0,0,passed
