suite,test,totalCov,plain,containers,colors,arrayref,utils,special,core,advanced,time,status
com.telek.tests.stats.hypo.HypothesisSingleVarTest,singleVarTest,532,0,11,0,4,264,0,1,252,501,passed
com.telek.tests.stats.StatsEqualityTest,eqTest,503,0,0,0,5,213,0,33,252,2,passed
com.telek.tests.functions.FuncTest,amnTest,175,0,0,0,0,7,0,168,0,11,passed
com.telek.tests.zsingle.NumericalAnalysisTest,numAnalTest,155,0,0,0,4,7,82,62,0,5,passed
com.telek.tests.zsingle.ArrayRefTest,arrayRefTwodTest,75,0,0,0,75,0,0,0,0,46,passed
com.telek.tests.stats.desc.DataDescriptionTest,dataDescPrimitiveWithoutConversionTest,109,0,32,0,12,7,0,0,58,360,passed
com.telek.tests.zsingle.ColorTest,colorEqualsTest,19,0,0,19,0,0,0,0,0,2,passed
com.telek.tests.stats.desc.DataDescriptionTest,randomTest2,117,4,15,0,9,8,0,0,81,12,passed
com.telek.tests.stats.hypo.HypothesisTwoVarTest,differenceOfMeansTest,406,0,21,0,8,218,0,1,158,74,passed
com.telek.tests.stats.confidenceint.ConfIntervalSingleVariableTest,forPersonDataTest,363,4,7,0,5,138,0,5,204,1,passed
com.telek.tests.functions.FuncEqualityTest,amnFuncTest,126,0,0,0,0,7,0,119,0,14,passed
com.telek.tests.zsingle.DiscreteMathTest,discreteMathTest,49,0,0,0,0,1,48,0,0,1,passed
com.telek.tests.zsingle.ArrayRefTest,arrayRefOnedTest,46,4,0,0,42,0,0,0,0,20,passed
com.telek.tests.stats.desc.DataDescriptionTest,dataDescPrimitiveTest,123,0,24,0,4,8,0,0,87,5421,passed
com.telek.tests.stats.hypo.HypothesisTwoVarTest,differenceOfProportionsTest,149,0,21,0,8,7,0,1,112,1,passed
com.telek.tests.stats.freqtable.FreqDistTableTest,freqTableGenericTest,130,4,11,0,5,70,0,0,40,899,passed
com.telek.tests.dists.TDistTest,invCumRightTailed,240,0,0,0,0,213,0,0,27,126,passed
com.telek.tests.stats.ChiSqTestsTest,aliasFunctionChecksTest,350,0,15,0,16,118,0,14,187,6,passed
com.telek.tests.matrices.TMatrixTest,differentTypeArray2Tests,124,0,19,0,0,1,0,104,0,4,passed
com.telek.tests.zsingle.IAFTest,iafTest,19,0,0,0,0,0,19,0,0,2,passed
com.telek.tests.stats.SimpleRegressionTest,regressionTest,387,4,0,0,20,191,0,23,149,7,passed
com.telek.tests.zsingle.TArraysTest,castTest,18,0,18,0,0,0,0,0,0,1,passed
com.telek.tests.stats.freqtable.FreqDistTableTest,freqTablePrimiteWithConversionTest,64,0,14,0,4,7,0,0,39,12337,passed
com.telek.tests.stats.desc.DataDescriptionTest,dataDescGenericTest,111,4,7,0,5,8,0,0,87,3,passed
com.telek.tests.dists.TDistTest,invCumLeftTailed,239,0,0,0,0,213,0,0,26,2,passed
com.telek.tests.stats.confidenceint.ConfIntervalSingleVariableTest,varianceSingleVariableTest,341,0,11,0,4,136,0,10,180,3,passed
com.telek.tests.matrices.TMatrixTest,matrixTest,106,0,4,0,0,1,0,101,0,16,passed
com.telek.tests.zsingle.CryptoTest,cryptoTest,93,2,0,0,0,0,18,10,63,328,passed
com.telek.tests.stats.freqtable.FreqDistTableTest,freqTableWithKnownFreqsTest,93,0,11,0,16,0,0,0,66,4,passed
com.telek.tests.stats.freqtable.FreqDistTableTest,freqTablePrimiteWithoutConversionTest,71,0,11,0,12,7,0,0,41,227,passed
com.telek.tests.stats.confidenceint.ConfIntervalSingleVariableTest,meanSingleVariableTest,340,0,11,0,4,196,0,9,120,4,passed
com.telek.tests.stats.confidenceint.ConfIntervalSingleVariableTest,proportionsSingleVariableTest,133,0,11,0,4,16,0,9,93,3,passed
com.telek.tests.stats.confidenceint.ConfIntervalTwoVariableTest,meanUnknownVarianceTest,343,0,4,0,4,188,0,9,138,5,passed
com.telek.tests.stats.ChiSqTestsTest,goodnessOfFitTest,279,0,7,0,4,118,0,1,149,9,error
com.telek.tests.matrices.TMatrixUtilsTest,matrixUtilsTest,103,0,4,0,0,0,0,99,0,6,passed
com.telek.tests.functions.FuncTest,tfunctionTest,93,0,0,0,0,8,0,85,0,1,error
com.telek.tests.stats.confidenceint.ConfIntervalTwoVariableTest,meanKnownVarianceTest,136,0,4,0,4,16,0,9,103,5,passed
com.telek.tests.stats.desc.DataDescriptionTest,noiseTest1,124,0,8,0,4,8,0,0,104,2,passed
com.telek.tests.stats.desc.DataDescriptionTest,randomTest1,111,0,8,0,4,8,0,0,91,1,passed
com.telek.tests.stats.confidenceint.ConfIntervalTwoVariableTest,proportionsTwoVariableTest,135,0,4,0,4,16,0,9,102,1,passed
com.telek.tests.dists.ChiSqDistTest,invCumRightTailed,257,0,0,0,0,166,0,1,90,202,passed
com.telek.tests.stats.ChiSqTestsTest,homogeneityTest,249,0,0,0,0,118,0,14,117,12,passed
com.telek.tests.functions.FuncEqualityTest,otherFuncTest,84,0,0,0,0,7,0,77,0,7,passed
com.telek.tests.functions.TPolynomialTest,polyTest,67,0,0,0,0,0,0,67,0,2,passed
com.telek.tests.geometry.TLine2DTest,line2dTest,50,0,0,0,0,7,0,43,0,4,passed
com.telek.tests.zsingle.TArraysTest,copyOfTest,4,0,4,0,0,0,0,0,0,2,passed
com.telek.tests.matrices.TMatrixTest,copyConstructorTest,8,0,1,0,0,0,0,7,0,5,passed
com.telek.tests.geometry.TVector3DTest,tvec3dTest,44,0,0,0,0,7,0,37,0,2,passed
com.telek.tests.dists.ChiSqDistTest,invCumLeftTailed,252,0,0,0,0,160,0,1,91,85,passed
com.telek.tests.stats.sampling.SamplingTest,samplingTestPrimitiveFloat,47,0,0,0,0,0,0,4,43,2,passed
com.telek.tests.numbers.FractionTest,fracTest,38,0,0,0,0,8,0,30,0,4,passed
com.telek.tests.numbers.ComplexNumberTest,complexNumTest,26,0,0,0,0,7,0,19,0,2,failed
com.telek.tests.geometry.TVector2DTest,tvec2dTest,25,0,0,0,0,7,0,18,0,4,passed
com.telek.tests.geometry.TPoint2DTest,point2dTest,24,0,0,0,0,7,0,17,0,12,passed
com.telek.tests.geometry.TPoint3DTest,point3dTest,18,0,0,0,0,7,0,11,0,10,passed
com.telek.tests.numbers.TRangeTest,rangeTest,17,0,0,0,0,8,0,9,0,5,passed
com.telek.tests.dists.ChiSqDistTest,cumProbTest,159,0,0,0,0,157,0,0,3,1,passed
com.telek.tests.stats.sampling.SamplingTest,samplingTestClass,42,0,0,0,0,0,0,4,38,1,passed
com.telek.tests.stats.sampling.SamplingTest,samplingTestPrimitiveINT,42,0,0,0,0,0,0,4,38,12,passed
com.telek.tests.dists.DiscreteDistributionTest,discDistTest,22,0,0,0,0,10,0,0,12,49,passed
com.telek.tests.dists.ZDistTest,cumulativeProbabilityBetweenTest,18,0,0,0,0,10,0,0,8,88,passed
com.telek.tests.dists.ZDistTest,invCumRightTailedTest,19,0,0,0,0,15,0,0,4,17,error
com.telek.tests.dists.ZDistTest,invCumLeftTailedTest,14,0,0,0,0,10,0,0,4,13,passed
com.telek.tests.dists.ZDistTest,cumulativeProbabilityBetweenTest2,14,0,0,0,0,10,0,0,4,6,passed
com.telek.tests.dists.ChiSqDistTest,densityTest,152,0,0,0,0,149,0,0,3,1,passed
com.telek.tests.dists.TDistTest,cumProbTest,148,0,0,0,0,145,0,0,3,28,error
com.telek.tests.dists.TDistTest,densityTest,122,0,0,0,0,119,0,0,3,22,error
com.telek.tests.dists.ZDistTest,cumulativeProbabilityTest,11,0,0,0,0,10,0,0,1,3,passed
com.telek.tests.dists.ZDistTest,densityTest,8,0,0,0,0,7,0,0,1,6,failed
com.telek.tests.zsingle.TMathTest,tmathTest,105,0,0,0,0,105,0,0,0,1,passed
